open_id,customer_id,campaign_id,open_date
E0001,C001,campaign_10,2026-03-23
E0002,C001,campaign_11,2026-02-15
E0003,C001,campaign_3,2026-02-27
E0004,C001,campaign_9,2026-03-04
E0005,C001,campaign_6,2026-02-28
E0006,C001,campaign_9,2026-03-19
E0007,C001,campaign_7,2026-02-20
E0008,C001,campaign_6,2026-03-03
E0009,C001,campaign_12,2026-04-06
E0010,C001,campaign_10,2026-03-31
E0011,C001,campaign_4,2026-03-12
E0012,C001,campaign_1,2026-03-09
E0013,C001,campaign_12,2026-03-21
E0014,C001,campaign_12,2026-03-01
E0015,C001,campaign_7,2026-03-13
E0016,C001,campaign_11,2026-02-05
E0017,C001,campaign_8,2026-04-11
E0018,C001,campaign_3,2026-04-26
E0019,C001,campaign_10,2026-02-25
E0020,C001,campaign_2,2026-03-19
E0021,C001,campaign_2,2026-03-05
E0022,C001,campaign_8,2026-02-22
E0023,C001,campaign_12,2026-04-29
E0024,C001,campaign_7,2026-04-12
E0025,C002,campaign_8,2026-04-21
E0026,C002,campaign_6,2026-03-28
E0027,C002,campaign_12,2026-02-10
E0028,C002,campaign_11,2026-03-11
E0029,C002,campaign_6,2026-04-20
E0030,C002,campaign_9,2026-02-03
E0031,C002,campaign_6,2026-03-13
E0032,C002,campaign_12,2026-02-09
E0033,C002,campaign_9,2026-02-27
E0034,C002,campaign_10,2026-04-26
E0035,C002,campaign_4,2026-04-22
E0036,C002,campaign_11,2026-02-09
E0037,C002,campaign_4,2026-03-25
E0038,C002,campaign_7,2026-04-19
E0039,C002,campaign_11,2026-04-18
E0040,C002,campaign_2,2026-01-30
E0041,C002,campaign_3,2026-03-05
E0042,C002,campaign_5,2026-02-01
E0043,C002,campaign_1,2026-04-27
E0044,C003,campaign_5,2026-04-23
E0045,C003,campaign_6,2026-03-16
E0046,C003,campaign_3,2026-03-06
E0047,C003,campaign_9,2026-03-30
E0048,C003,campaign_10,2026-03-09
E0049,C003,campaign_3,2026-02-02
E0050,C003,campaign_3,2026-04-09
E0051,C003,campaign_10,2026-04-20
E0052,C003,campaign_10,2026-03-13
E0053,C003,campaign_4,2026-02-02
E0054,C003,campaign_10,2026-02-26
E0055,C003,campaign_4,2026-04-12
E0056,C003,campaign_11,2026-03-02
E0057,C003,campaign_8,2026-03-29
E0058,C003,campaign_11,2026-03-29
E0059,C003,campaign_8,2026-04-29
E0060,C003,campaign_11,2026-03-25
E0061,C003,campaign_3,2026-02-20
E0062,C003,campaign_8,2026-04-21
E0063,C003,campaign_10,2026-03-17
E0064,C003,campaign_11,2026-03-23
E0065,C003,campaign_12,2026-03-07
E0066,C003,campaign_8,2026-03-29
E0067,C003,campaign_4,2026-03-23
E0068,C003,campaign_8,2026-03-12
E0069,C004,campaign_7,2026-03-31
E0070,C004,campaign_6,2026-02-16
E0071,C004,campaign_5,2026-02-16
E0072,C004,campaign_5,2026-01-31
E0073,C004,campaign_11,2026-04-28
E0074,C004,campaign_5,2026-03-11
E0075,C004,campaign_10,2026-04-29
E0076,C004,campaign_12,2026-02-02
E0077,C004,campaign_10,2026-04-24
E0078,C004,campaign_5,2026-02-26
E0079,C004,campaign_10,2026-04-01
E0080,C004,campaign_4,2026-03-16
E0081,C004,campaign_4,2026-02-08
E0082,C004,campaign_5,2026-02-10
E0083,C004,campaign_12,2026-02-03
E0084,C004,campaign_11,2026-02-05
E0085,C004,campaign_11,2026-04-13
E0086,C004,campaign_11,2026-04-18
E0087,C005,campaign_8,2026-03-22
E0088,C005,campaign_10,2026-04-26
E0089,C005,campaign_12,2026-03-15
E0090,C005,campaign_2,2026-04-14
E0091,C005,campaign_6,2026-03-24
E0092,C005,campaign_3,2026-03-08
E0093,C005,campaign_3,2026-04-05
E0094,C005,campaign_6,2026-02-20
E0095,C005,campaign_9,2026-02-22
E0096,C005,campaign_3,2026-03-27
E0097,C005,campaign_8,2026-03-29
E0098,C005,campaign_12,2026-03-24
E0099,C005,campaign_2,2026-03-18
E0100,C005,campaign_2,2026-03-02
E0101,C005,campaign_4,2026-04-12
E0102,C005,campaign_12,2026-02-03
E0103,C006,campaign_6,2026-02-18
E0104,C006,campaign_7,2026-04-19
E0105,C006,campaign_5,2026-04-29
E0106,C006,campaign_2,2026-02-21
E0107,C006,campaign_6,2026-03-03
E0108,C006,campaign_12,2026-02-03
E0109,C006,campaign_5,2026-02-03
E0110,C006,campaign_7,2026-02-15
E0111,C006,campaign_6,2026-02-08
E0112,C006,campaign_11,2026-04-17
E0113,C006,campaign_8,2026-04-01
E0114,C006,campaign_10,2026-04-27
E0115,C006,campaign_6,2026-02-18
E0116,C006,campaign_4,2026-02-11
E0117,C006,campaign_2,2026-02-07
E0118,C006,campaign_8,2026-02-08
E0119,C006,campaign_5,2026-01-31
E0120,C006,campaign_7,2026-02-06
E0121,C006,campaign_3,2026-04-16
E0122,C006,campaign_1,2026-04-25
E0123,C006,campaign_8,2026-03-23
E0124,C006,campaign_2,2026-04-16
