order_id,customer_id,product_id,quantity,total,order_date
O0001,C001,P002,2,170.0,2025-10-07
O0002,C001,P001,3,84.0,2025-08-10
O0003,C001,P009,1,38.0,2025-11-16
O0004,C001,P005,3,126.0,2026-02-04
O0005,C001,P003,2,128.0,2025-12-19
O0006,C001,P009,1,38.0,2025-06-27
O0007,C001,P001,1,28.0,2025-07-23
O0008,C001,P004,1,78.0,2025-10-24
O0009,C001,P002,1,85.0,2026-04-11
O0010,C001,P009,1,38.0,2026-02-23
O0011,C001,P009,1,38.0,2026-04-14
O0012,C001,P010,2,28.0,2026-04-02
O0013,C001,P004,1,78.0,2026-04-12
O0014,C002,P006,2,190.0,2025-09-07
O0015,C002,P002,1,85.0,2025-08-11
O0016,C002,P001,3,84.0,2026-04-19
O0017,C002,P004,1,78.0,2025-06-02
O0018,C002,P001,1,28.0,2026-04-09
O0019,C002,P006,1,95.0,2026-04-28
O0020,C002,P008,1,140.0,2025-11-08
O0021,C002,P010,2,28.0,2025-06-11
O0022,C002,P007,1,55.0,2026-04-14
O0023,C002,P007,2,110.0,2026-04-08
O0024,C002,P001,3,84.0,2025-08-03
O0025,C002,P002,1,85.0,2026-04-28
O0026,C003,P004,1,78.0,2026-02-03
O0027,C003,P003,2,128.0,2026-04-15
O0028,C003,P004,1,78.0,2026-04-15
O0029,C003,P002,1,85.0,2025-06-22
O0030,C003,P001,1,28.0,2025-06-27
O0031,C003,P003,2,128.0,2025-11-29
O0032,C003,P007,1,55.0,2025-12-11
O0033,C003,P007,2,110.0,2026-04-29
O0034,C003,P005,2,84.0,2025-08-10
O0035,C003,P008,1,140.0,2025-06-19
O0036,C003,P001,3,84.0,2026-04-23
O0037,C003,P006,1,95.0,2026-02-27
O0038,C003,P009,3,114.0,2026-04-14
O0039,C003,P002,1,85.0,2026-04-13
O0040,C003,P002,1,85.0,2026-04-10
O0041,C004,P007,1,55.0,2025-11-30
O0042,C004,P004,3,234.0,2025-06-12
O0043,C004,P002,2,170.0,2025-05-17
O0044,C004,P009,2,76.0,2025-06-14
O0045,C004,P006,1,95.0,2025-12-16
O0046,C004,P005,2,84.0,2026-04-25
O0047,C004,P001,2,56.0,2026-02-21
O0048,C004,P002,1,85.0,2025-06-15
O0049,C004,P005,1,42.0,2025-07-14
O0050,C004,P006,1,95.0,2026-04-27
O0051,C005,P008,3,420.0,2026-01-09
O0052,C005,P009,1,38.0,2025-05-21
O0053,C005,P005,3,126.0,2025-06-20
O0054,C005,P003,2,128.0,2026-04-01
O0055,C005,P009,1,38.0,2026-04-26
O0056,C005,P004,3,234.0,2026-04-10
O0057,C005,P005,3,126.0,2025-05-10
O0058,C005,P002,3,255.0,2026-03-04
O0059,C005,P001,1,28.0,2025-11-09
O0060,C005,P005,1,42.0,2026-01-23
O0061,C005,P007,3,165.0,2025-06-21
O0062,C005,P001,1,28.0,2026-04-26
O0063,C006,P009,1,38.0,2026-01-13
O0064,C006,P009,1,38.0,2025-06-05
O0065,C006,P005,2,84.0,2026-03-09
O0066,C006,P006,1,95.0,2026-03-10
O0067,C006,P006,3,285.0,2026-02-06
O0068,C006,P010,3,42.0,2025-09-03
O0069,C006,P004,1,78.0,2026-03-31
O0070,C006,P007,1,55.0,2025-12-30
O0071,C006,P006,2,190.0,2026-03-31
O0072,C006,P004,1,78.0,2026-04-21
O0073,C007,P007,1,55.0,2026-02-03
O0074,C007,P004,2,156.0,2025-12-07
O0075,C007,P004,1,78.0,2025-12-04
O0076,C007,P006,2,190.0,2025-09-07
O0077,C007,P006,3,285.0,2025-11-08
O0078,C007,P006,1,95.0,2025-06-29
O0079,C007,P003,3,192.0,2026-04-21
O0080,C007,P001,1,28.0,2025-11-15
O0081,C007,P006,2,190.0,2025-10-05
O0082,C007,P002,2,170.0,2025-07-12
O0083,C007,P010,1,14.0,2026-04-23
O0084,C008,P001,3,84.0,2026-04-16
O0085,C008,P004,2,156.0,2025-06-28
O0086,C008,P010,2,28.0,2025-10-12
